Batch Number,B2600081,,,,,,
Category,Livestock,,,,,,
Specie,Cattle,,,,,,
Family,Dairy,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PFDP010802,,,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,,,
NIR-Code,D20260211-00102,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2399,2523,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4610,4543,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1203,0.1564106,1889592.706,1318128.049,1680873,1291819,,
1204,0.15644206,1895194.424,1321939.882,1675382,1290105,,
1205,0.15645101,1897545.23,1323552.372,1680648,1296417,,
1206,0.15642446,1897944.48,1323911.764,1684405,1301095,,
1207,0.15635737,1899337.236,1325087.987,1681527,1300250,,
1208,0.15624828,1905177.59,1329496.451,1692872,1309991,,
1209,0.15609387,1915025.433,1336843.838,1696623,1313511,,
1210,0.15588766,1924461.795,1344069.204,1700063,1316505,,
1211,0.15562904,1930651.435,1349195.332,1705507,1320927,,
1212,0.15533554,1935251.637,1353324.376,1712475,1326397,,
1213,0.15502453,1940342.009,1357856.136,1717448,1330097,,
1214,0.15468696,1946031.969,1362896.91,1726522,1337003,,
1215,0.15430292,1951615.12,1368016.23,1732812,1341865,,
1216,0.15386932,1956953.298,1373128.372,1738814,1345916,,
1217,0.15340079,1962500.141,1378506.794,1746261,1351518,,
1218,0.1529099,1968555.468,1384324.024,1754248,1356973,,
1219,0.15240149,1974962.855,1390456.616,1761981,1362582,,
1220,0.15187707,1981445.567,1396706.25,1763115,1362713,,
1221,0.15132543,1987395.023,1402680.534,1778802,1373886,,
1222,0.15073101,1992123.404,1407943.505,1790610,1382304,,
